case_id,reviewer_code,run_type,started_at_utc,ended_at_utc,active_handling_seconds,recommended_action,route,evidence_used_pipe_delimited,message_facts_pipe_delimited,confidence_1_to_5,help_requested,handoff_count,policy_lookup_count,notes_without_personal_data
SCC-01-FND-001,,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-002,,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-003,,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-004,,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-005,,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-006,,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-007,,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-008,,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-009,,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-010,,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-011,,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-012,,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-013,,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-014,,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-015,,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-016,,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-017,,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-018,,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-019,,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-020,,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-021,,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-022,,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-023,,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-024,,manual-no-ai,,,,,,,,,,,,
