case_id,reviewer_code,run_type,started_at_utc,ended_at_utc,active_handling_seconds,recommended_action,route,evidence_used_pipe_delimited,message_facts_pipe_delimited,confidence_1_to_5,help_requested,handoff_count,policy_lookup_count,notes_without_personal_data
SCC-01-HO1-001,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-002,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-003,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-004,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-005,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-006,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-007,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-008,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-009,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-010,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-011,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-012,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-013,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-014,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-015,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-016,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-017,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-018,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-019,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-020,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-021,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-022,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-023,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-024,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-025,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-026,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-027,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-028,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-029,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-030,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-031,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO1-032,CREATOR-01,manual-no-ai,,,,,,,,,,,,
