case_id,reviewer_code,run_type,started_at_utc,ended_at_utc,active_handling_seconds,recommended_action,route,evidence_used_pipe_delimited,message_facts_pipe_delimited,confidence_1_to_5,help_requested,handoff_count,policy_lookup_count,notes_without_personal_data
SCC-01-HO2-001,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-002,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-003,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-004,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-005,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-006,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-007,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-008,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-009,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-010,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-011,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-012,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-013,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-014,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-015,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-016,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-017,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-018,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-019,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-020,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-021,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-022,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-023,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-024,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-025,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-026,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-027,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-028,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-029,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-030,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-031,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-HO2-032,CREATOR-01,manual-no-ai,,,,,,,,,,,,
