case_id,reviewer_code,run_type,started_at_utc,ended_at_utc,active_handling_seconds,recommended_action,route,evidence_used_pipe_delimited,message_facts_pipe_delimited,confidence_1_to_5,help_requested,handoff_count,policy_lookup_count,notes_without_personal_data
SCC-01-FND-001,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-002,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-003,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-004,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-005,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-006,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-007,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-008,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-009,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-010,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-011,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-012,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-013,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-014,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-015,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-016,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-017,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-018,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-019,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-020,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-021,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-022,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-023,CREATOR-01,manual-no-ai,,,,,,,,,,,,
SCC-01-FND-024,CREATOR-01,manual-no-ai,,,,,,,,,,,,
